Source:_SUSPLAN,_ENTSO-E	Unnamed:_1	Unnamed:_2	Unnamed:_3
Greece	Bulgaria	4	550.0
Germany	Switzerland	4	3500.0
France	Switzerland	4	2750.0
Italy	Switzerland	4	3025.0
Germany	CzechR	4	1525.0
Denmark	Germany	4	1500.0
France	Germany	4	2825.0
Luxemb.	Germany	4	980.0
Finland	Estonia	4	1000.0
France	Spain	4	950.0
GreatBrit.	France	4	2000.0
Italy	France	4	1822.5
Ireland	GreatBrit.	4	410.0
Italy	Greece	4	500.0
Hungary	Croatia	4	700.0
GreatBrit.	Belgium	4	0.0
GreatBrit.	Denmark	4	1400.0
Italy	BosniaH	4	0.0
Italy	Croatia	4	0.0
Germany	Belgium	4	0.0
Italy	Germany	4	0.0
Ireland	Spain	4	0.0
Ireland	France	4	0.0
Luxemb.	France	4	0.0
Switzerland	Austria	5	835.0
CzechR	Austria	5	650.0
Germany	Austria	5	1900.0
Hungary	Austria	5	425.0
Italy	Austria	5	152.5
Croatia	BosniaH	5	615.0
France	Belgium	5	2700.0
Luxemb.	Belgium	5	1000.0
Greece	Bulgaria	5	550.0
Germany	Switzerland	5	3500.0
France	Switzerland	5	2750.0
Italy	Switzerland	5	3025.0
Germany	CzechR	5	1525.0
Denmark	Germany	5	1500.0
France	Germany	5	2825.0
Luxemb.	Germany	5	980.0
Finland	Estonia	5	1000.0
France	Spain	5	950.0
GreatBrit.	France	5	2000.0
Italy	France	5	1822.5
Ireland	GreatBrit.	5	410.0
Italy	Greece	5	500.0
Hungary	Croatia	5	700.0
GreatBrit.	Belgium	5	0.0
GreatBrit.	Denmark	5	1400.0
Italy	BosniaH	5	0.0
Italy	Croatia	5	0.0
Germany	Belgium	5	0.0
Italy	Germany	5	0.0
Ireland	Spain	5	0.0
Ireland	France	5	0.0
Luxemb.	France	5	0.0
Switzerland	Austria	6	835.0
CzechR	Austria	6	650.0
Germany	Austria	6	1900.0
Hungary	Austria	6	425.0
Italy	Austria	6	152.5
Croatia	BosniaH	6	615.0
France	Belgium	6	2700.0
Luxemb.	Belgium	6	1000.0
Greece	Bulgaria	6	550.0
Germany	Switzerland	6	3500.0
France	Switzerland	6	2750.0
Italy	Switzerland	6	3025.0
Germany	CzechR	6	1525.0
Denmark	Germany	6	1500.0
France	Germany	6	2825.0
Luxemb.	Germany	6	980.0
Finland	Estonia	6	1000.0
France	Spain	6	950.0
GreatBrit.	France	6	2000.0
Italy	France	6	1822.5
Ireland	GreatBrit.	6	410.0
Italy	Greece	6	500.0
Hungary	Croatia	6	700.0
GreatBrit.	Belgium	6	0.0
GreatBrit.	Denmark	6	1400.0
Italy	BosniaH	6	0.0
Italy	Croatia	6	0.0
Germany	Belgium	6	0.0
Italy	Germany	6	0.0
Ireland	Spain	6	0.0
Ireland	France	6	0.0
Luxemb.	France	6	0.0
Switzerland	Austria	7	835.0
CzechR	Austria	7	650.0
Germany	Austria	7	1900.0
Hungary	Austria	7	425.0
Italy	Austria	7	152.5
Croatia	BosniaH	7	615.0
France	Belgium	7	2700.0
Luxemb.	Belgium	7	1000.0
Greece	Bulgaria	7	550.0
Germany	Switzerland	7	3500.0
France	Switzerland	7	2750.0
Italy	Switzerland	7	3025.0
Germany	CzechR	7	1525.0
Denmark	Germany	7	1500.0
France	Germany	7	2825.0
Luxemb.	Germany	7	980.0
Finland	Estonia	7	1000.0
France	Spain	7	950.0
GreatBrit.	France	7	2000.0
Italy	France	7	1822.5
Ireland	GreatBrit.	7	410.0
Italy	Greece	7	500.0
Hungary	Croatia	7	700.0
GreatBrit.	Belgium	7	0.0
GreatBrit.	Denmark	7	1400.0
Italy	BosniaH	7	0.0
Italy	Croatia	7	0.0
Germany	Belgium	7	0.0
Italy	Germany	7	0.0
Ireland	Spain	7	0.0
Ireland	France	7	0.0
Luxemb.	France	7	0.0
Switzerland	Austria	8	835.0
CzechR	Austria	8	650.0
Germany	Austria	8	1900.0
Hungary	Austria	8	425.0
Italy	Austria	8	152.5
Croatia	BosniaH	8	615.0
France	Belgium	8	2700.0
Luxemb.	Belgium	8	1000.0
Greece	Bulgaria	8	550.0
Germany	Switzerland	8	3500.0
France	Switzerland	8	2750.0
Italy	Switzerland	8	3025.0
Germany	CzechR	8	1525.0
Denmark	Germany	8	1500.0
France	Germany	8	2825.0
Luxemb.	Germany	8	980.0
Finland	Estonia	8	1000.0
France	Spain	8	950.0
GreatBrit.	France	8	2000.0
Italy	France	8	1822.5
Ireland	GreatBrit.	8	410.0
Italy	Greece	8	500.0
Hungary	Croatia	8	700.0
GreatBrit.	Belgium	8	0.0
GreatBrit.	Denmark	8	1400.0
Italy	BosniaH	8	0.0
Italy	Croatia	8	0.0
Germany	Belgium	8	0.0
Italy	Germany	8	0.0
Ireland	Spain	8	0.0
Ireland	France	8	0.0
Luxemb.	France	8	0.0
