Source:_See_legend_to_the_right	Unnamed:_1	Unnamed:_2
Finland	Oil	200000.0
France	Oil	200000.0
GreatBrit.	Oil	200000.0
Croatia	Oil	200000.0
Hungary	Oil	200000.0
Ireland	Oil	200000.0
Lithuania	Oil	200000.0
Austria	Solar	372000.0
BosniaH	Solar	547000.0
Belgium	Solar	561000.0
Bulgaria	Solar	950000.0
Switzerland	Solar	372000.0
CzechR	Solar	693000.0
Germany	Solar	1373000.0
Denmark	Solar	70000.0
Estonia	Solar	112000.0
Spain	Solar	2817000.0
Finland	Solar	1303000.0
France	Solar	1128000.0
GreatBrit.	Solar	1470000.0
Greece	Solar	950000.0
Croatia	Solar	205000.0
Hungary	Solar	205000.0
Ireland	Solar	1470000.0
Italy	Solar	625000.0
Lithuania	Solar	112000.0
Luxemb.	Solar	561000.0
Belgium	Wind_offshr	200000.0
Germany	Wind_offshr	200000.0
Denmark	Wind_offshr	200000.0
Estonia	Wind_offshr	200000.0
Spain	Wind_offshr	200000.0
Finland	Wind_offshr	200000.0
France	Wind_offshr	200000.0
GreatBrit.	Wind_offshr	200000.0
Greece	Wind_offshr	200000.0
Ireland	Wind_offshr	200000.0
Italy	Wind_offshr	200000.0
Austria	Wind_onshr	19302.0
BosniaH	Wind_onshr	17850.0
Belgium	Wind_onshr	17936.0
Bulgaria	Wind_onshr	35000.0
Switzerland	Wind_onshr	2000.0
CzechR	Wind_onshr	33692.0
Germany	Wind_onshr	197304.0
Denmark	Wind_onshr	16000.0
Estonia	Wind_onshr	36776.0
Spain	Wind_onshr	175000.0
Finland	Wind_onshr	30000.0
France	Wind_onshr	202454.0
GreatBrit.	Wind_onshr	76708.0
Greece	Wind_onshr	35000.0
Croatia	Wind_onshr	19600.000000000004
Hungary	Wind_onshr	42000.0
Ireland	Wind_onshr	31500.0
Italy	Wind_onshr	77384.0
Lithuania	Wind_onshr	42736.0
Luxemb.	Wind_onshr	700.0000000000001
Austria	Waste	23.1
BosniaH	Waste	0.0
Belgium	Waste	317.1
Bulgaria	Waste	0.0
Switzerland	Waste	443.1
CzechR	Waste	105.0
Germany	Waste	1873.2
Denmark	Waste	339.15000000000003
Estonia	Waste	21.0
Spain	Waste	714.0
Finland	Waste	165.9
France	Waste	927.1500000000001
GreatBrit.	Waste	5.25
Greece	Waste	0.0
Croatia	Waste	6.300000000000001
Hungary	Waste	0.0
Ireland	Waste	84.0
Italy	Waste	445.20000000000005
Lithuania	Waste	21.0
Luxemb.	Waste	22.05
Estonia	Oil	200000.0
Spain	Lignite	200000.0
Croatia	Bio	200000.0
Lithuania	Lignite	200000.0
